Date,Year,Month,MonthName,Quarter,Week,Day,DayName
1993-07-23,1993,7,July,3,29,23,Friday
1993-07-24,1993,7,July,3,29,24,Saturday
1993-07-31,1993,7,July,3,30,31,Saturday
1993-08-01,1993,8,August,3,30,1,Sunday
1993-08-06,1993,8,August,3,31,6,Friday
1993-08-07,1993,8,August,3,31,7,Saturday
1993-08-10,1993,8,August,3,32,10,Tuesday
1993-08-11,1993,8,August,3,32,11,Wednesday
1993-08-14,1993,8,August,3,32,14,Saturday
1993-08-15,1993,8,August,3,32,15,Sunday
1993-08-16,1993,8,August,3,33,16,Monday
1993-08-17,1993,8,August,3,33,17,Tuesday
1993-08-18,1993,8,August,3,33,18,Wednesday
1993-08-21,1993,8,August,3,33,21,Saturday
1993-08-22,1993,8,August,3,33,22,Sunday
1993-08-23,1993,8,August,3,34,23,Monday
1993-08-24,1993,8,August,3,34,24,Tuesday
1993-08-25,1993,8,August,3,34,25,Wednesday
1993-08-27,1993,8,August,3,34,27,Friday
1993-08-28,1993,8,August,3,34,28,Saturday
1993-08-29,1993,8,August,3,34,29,Sunday
1993-08-30,1993,8,August,3,35,30,Monday
1993-08-31,1993,8,August,3,35,31,Tuesday
1993-09-01,1993,9,September,3,35,1,Wednesday
1993-09-04,1993,9,September,3,35,4,Saturday
1993-09-05,1993,9,September,3,35,5,Sunday
1993-09-08,1993,9,September,3,36,8,Wednesday
1993-09-10,1993,9,September,3,36,10,Friday
1993-09-11,1993,9,September,3,36,11,Saturday
1993-09-12,1993,9,September,3,36,12,Sunday
1993-09-13,1993,9,September,3,37,13,Monday
1993-09-18,1993,9,September,3,37,18,Saturday
1993-09-19,1993,9,September,3,37,19,Sunday
1993-09-20,1993,9,September,3,38,20,Monday
1993-09-23,1993,9,September,3,38,23,Thursday
1993-09-24,1993,9,September,3,38,24,Friday
1993-09-25,1993,9,September,3,38,25,Saturday
1993-09-26,1993,9,September,3,38,26,Sunday
1993-09-27,1993,9,September,3,39,27,Monday
1993-10-02,1993,10,October,4,39,2,Saturday
1993-10-03,1993,10,October,4,39,3,Sunday
1993-10-04,1993,10,October,4,40,4,Monday
1993-10-05,1993,10,October,4,40,5,Tuesday
1993-10-06,1993,10,October,4,40,6,Wednesday
1993-10-09,1993,10,October,4,40,9,Saturday
1993-10-16,1993,10,October,4,41,16,Saturday
1993-10-17,1993,10,October,4,41,17,Sunday
1993-10-18,1993,10,October,4,42,18,Monday
1993-10-22,1993,10,October,4,42,22,Friday
1993-10-23,1993,10,October,4,42,23,Saturday
1993-10-24,1993,10,October,4,42,24,Sunday
1993-10-25,1993,10,October,4,43,25,Monday
1993-10-28,1993,10,October,4,43,28,Thursday
1993-10-29,1993,10,October,4,43,29,Friday
1993-10-30,1993,10,October,4,43,30,Saturday
1993-10-31,1993,10,October,4,43,31,Sunday
1993-11-01,1993,11,November,4,44,1,Monday
1993-11-06,1993,11,November,4,44,6,Saturday
1993-11-07,1993,11,November,4,44,7,Sunday
1993-11-08,1993,11,November,4,45,8,Monday
1993-11-10,1993,11,November,4,45,10,Wednesday
1993-11-13,1993,11,November,4,45,13,Saturday
1993-11-20,1993,11,November,4,46,20,Saturday
1993-11-21,1993,11,November,4,46,21,Sunday
1993-11-22,1993,11,November,4,47,22,Monday
1993-11-23,1993,11,November,4,47,23,Tuesday
1993-11-24,1993,11,November,4,47,24,Wednesday
1993-11-27,1993,11,November,4,47,27,Saturday
1993-11-28,1993,11,November,4,47,28,Sunday
1993-11-29,1993,11,November,4,48,29,Monday
1993-12-02,1993,12,December,4,48,2,Thursday
1993-12-03,1993,12,December,4,48,3,Friday
1993-12-04,1993,12,December,4,48,4,Saturday
1993-12-05,1993,12,December,4,48,5,Sunday
1993-12-06,1993,12,December,4,49,6,Monday
1993-12-07,1993,12,December,4,49,7,Tuesday
1993-12-08,1993,12,December,4,49,8,Wednesday
1993-12-10,1993,12,December,4,49,10,Friday
1993-12-11,1993,12,December,4,49,11,Saturday
1993-12-12,1993,12,December,4,49,12,Sunday
1993-12-13,1993,12,December,4,50,13,Monday
1993-12-16,1993,12,December,4,50,16,Thursday
1993-12-18,1993,12,December,4,50,18,Saturday
1993-12-19,1993,12,December,4,50,19,Sunday
1993-12-22,1993,12,December,4,51,22,Wednesday
1993-12-26,1993,12,December,4,51,26,Sunday
1993-12-27,1993,12,December,4,52,27,Monday
1993-12-28,1993,12,December,4,52,28,Tuesday
1993-12-29,1993,12,December,4,52,29,Wednesday
1994-01-01,1994,1,January,1,52,1,Saturday
1994-01-02,1994,1,January,1,52,2,Sunday
1994-01-03,1994,1,January,1,1,3,Monday
1994-01-04,1994,1,January,1,1,4,Tuesday
1994-01-09,1994,1,January,1,1,9,Sunday
1994-01-14,1994,1,January,1,2,14,Friday
1994-01-15,1994,1,January,1,2,15,Saturday
1994-01-16,1994,1,January,1,2,16,Sunday
1994-01-22,1994,1,January,1,3,22,Saturday
1994-01-23,1994,1,January,1,3,23,Sunday
1994-01-24,1994,1,January,1,4,24,Monday
1994-01-28,1994,1,January,1,4,28,Friday
1994-01-29,1994,1,January,1,4,29,Saturday
1994-01-30,1994,1,January,1,4,30,Sunday
1994-02-02,1994,2,February,1,5,2,Wednesday
1994-02-04,1994,2,February,1,5,4,Friday
1994-02-05,1994,2,February,1,5,5,Saturday
1994-02-06,1994,2,February,1,5,6,Sunday
1994-02-08,1994,2,February,1,6,8,Tuesday
1994-02-09,1994,2,February,1,6,9,Wednesday
1994-02-12,1994,2,February,1,6,12,Saturday
1994-02-13,1994,2,February,1,6,13,Sunday
1994-02-14,1994,2,February,1,7,14,Monday
1994-02-19,1994,2,February,1,7,19,Saturday
1994-02-20,1994,2,February,1,7,20,Sunday
1994-02-22,1994,2,February,1,8,22,Tuesday
1994-02-23,1994,2,February,1,8,23,Wednesday
1994-02-24,1994,2,February,1,8,24,Thursday
1994-02-25,1994,2,February,1,8,25,Friday
1994-02-26,1994,2,February,1,8,26,Saturday
1994-02-27,1994,2,February,1,8,27,Sunday
1994-02-28,1994,2,February,1,9,28,Monday
1994-03-02,1994,3,March,1,9,2,Wednesday
1994-03-05,1994,3,March,1,9,5,Saturday
1994-03-06,1994,3,March,1,9,6,Sunday
1994-03-11,1994,3,March,1,10,11,Friday
1994-03-12,1994,3,March,1,10,12,Saturday
1994-03-13,1994,3,March,1,10,13,Sunday
1994-03-16,1994,3,March,1,11,16,Wednesday
1994-03-19,1994,3,March,1,11,19,Saturday
1994-03-20,1994,3,March,1,11,20,Sunday
1994-03-21,1994,3,March,1,12,21,Monday
1994-03-22,1994,3,March,1,12,22,Tuesday
1994-03-25,1994,3,March,1,12,25,Friday
1994-03-26,1994,3,March,1,12,26,Saturday
1994-03-27,1994,3,March,1,12,27,Sunday
1994-03-28,1994,3,March,1,13,28,Monday
1994-03-29,1994,3,March,1,13,29,Tuesday
1994-03-30,1994,3,March,1,13,30,Wednesday
1994-04-01,1994,4,April,2,13,1,Friday
1994-04-02,1994,4,April,2,13,2,Saturday
1994-04-03,1994,4,April,2,13,3,Sunday
1994-04-04,1994,4,April,2,14,4,Monday
1994-04-05,1994,4,April,2,14,5,Tuesday
1994-04-06,1994,4,April,2,14,6,Wednesday
1994-04-09,1994,4,April,2,14,9,Saturday
